,Unit of assessment name,Institution name,4*,3*,2*,1*,FTE Category A staff submitted
1537,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of East London,20,80,0,0,14.8
1541,"Psychology, Psychiatry and Neuroscience",University of East London,100,0,0,0,14.6
1545,Computer Science and Informatics,University of East London,0,0,10,90,4.0
1549,General Engineering,University of East London,0,0,40,40,7.8
1553,"Architecture, Built Environment and Planning",University of East London,0,50,10,40,5.2
1557,Business and Management Studies,University of East London,10,50,40,0,3.25
1561,Law,University of East London,0,90,10,0,12.7
1565,Social Work and Social Policy,University of East London,20,70,10,0,8.85
1569,Sociology,University of East London,53.3,23.4,23.3,0,19.4
1573,Education,University of East London,10,50,40,0,8.4
1577,"Art and Design: History, Practice and Theory",University of East London,0,40,60,0,8.4
1581,"Music, Drama, Dance and Performing Arts",University of East London,50,30,20,0,7.2
1585,"Communication, Cultural and Media Studies, Library and Information Management",University of East London,20,80,0,0,14.8
1589,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Edge Hill University,20,60,20,0,11.1
1593,"Psychology, Psychiatry and Neuroscience",Edge Hill University,0,40,60,0,12.2
1597,Computer Science and Informatics,Edge Hill University,0,10,50,0,5.0
1601,"Geography, Environmental Studies and Archaeology",Edge Hill University,0,40,10,50,9.0
1605,Law,Edge Hill University,0,100,0,0,14.0
1609,Social Work and Social Policy,Edge Hill University,0,26.7,10,36.6,17.0
1613,Education,Edge Hill University,40,20,40,0,11.7
1617,"Sport and Exercise Sciences, Leisure and Tourism",Edge Hill University,40,20,40,0,14.0
1621,English Language and Literature,Edge Hill University,0,20,40,40,13.9
1625,History,Edge Hill University,20,40,40,0,6.8
1629,"Music, Drama, Dance and Performing Arts",Edge Hill University,0,40,20,0,11.5
1633,"Communication, Cultural and Media Studies, Library and Information Management",Edge Hill University,20,20,20,0,12.3
1637,"Psychology, Psychiatry and Neuroscience",University of Essex,53.3,46.7,0,0,21.0
1641,Biological Sciences,University of Essex,0,60,40,0,23.0
1645,Computer Science and Informatics,University of Essex,20,40,20,20,34.9
1649,Economics and Econometrics,University of Essex,20,80,0,0,33.33
1653,Business and Management Studies,University of Essex,20,53.3,13.4,13.3,50.46
1657,Law,University of Essex,20,60,20,0,28.35
1661,Politics and International Studies,University of Essex,80,10,10,0,29.95
1665,Sociology,University of Essex,43.3,43.4,13.3,0,47.45
1669,"Sport and Exercise Sciences, Leisure and Tourism",University of Essex,40,40,20,0,8.7
1673,Modern Languages and Linguistics,University of Essex,30,70,0,0,12.6
1677,English Language and Literature,University of Essex,26.7,73.3,0,0,17.0
1681,History,University of Essex,50,36.7,13.3,0,18.2
1685,Philosophy,University of Essex,40,60,0,0,9.5
1689,"Art and Design: History, Practice and Theory",University of Essex,40,60,0,0,4.6
1693,Clinical Medicine,University of Exeter,80,20,0,0,24.5
1697,"Public Health, Health Services and Primary Care",University of Exeter,40,60,0,0,24.85
1701,"Psychology, Psychiatry and Neuroscience",University of Exeter,40,40,20,0,32.3
1705,Biological Sciences,University of Exeter,50,50,0,0,54.58
1709,Earth Systems and Environmental Sciences,University of Exeter,20,80,0,0,34.7
1713,Physics,University of Exeter,24,68,8,0,40.2
1717,Mathematical Sciences,University of Exeter,30,50,20,0,34.6
1721,Computer Science and Informatics,University of Exeter,10,70,20,0,10.0
1725,General Engineering,University of Exeter,32,44,24,0,44.0
1729,"Geography, Environmental Studies and Archaeology",University of Exeter,13.3,53.4,26.6,6.7,51.8
1733,"Geography, Environmental Studies and Archaeology",University of Exeter,60,40,0,0,11.2
1737,Economics and Econometrics,University of Exeter,13.3,60,13.4,13.3,24.5
1741,Business and Management Studies,University of Exeter,23.3,63.4,13.3,0,49.05
1745,Law,University of Exeter,40,60,0,0,14.95
1749,Politics and International Studies,University of Exeter,40,60,0,0,24.2
1753,Sociology,University of Exeter,40,50,10,0,24.2
1757,Education,University of Exeter,30,60,10,0,25.92
1761,"Sport and Exercise Sciences, Leisure and Tourism",University of Exeter,53.3,46.7,0,0,23.3
1765,Area Studies,University of Exeter,100,0,0,0,14.54
1769,Modern Languages and Linguistics,University of Exeter,10,50,0,40,32.0
1773,English Language and Literature,University of Exeter,40,60,0,0,53.2
1777,History,University of Exeter,40,44,16,0,41.53
1781,Classics,University of Exeter,40,46.7,13.3,0,19.0
1785,Theology and Religious Studies,University of Exeter,20,80,0,0,11.2
1789,"Music, Drama, Dance and Performing Arts",University of Exeter,33.3,53.4,13.3,0,15.86
1793,"Art and Design: History, Practice and Theory",Falmouth University,0,10,90,0,24.29
1797,"Music, Drama, Dance and Performing Arts",Falmouth University,30,20,30,0,26.1
1801,"Architecture, Built Environment and Planning",University of Gloucestershire,0,50,50,0,8.2
1805,"Geography, Environmental Studies and Archaeology",University of Gloucestershire,0,20,80,0,11.1
1809,"Sport and Exercise Sciences, Leisure and Tourism",University of Gloucestershire,40,60,0,0,17.6
1813,English Language and Literature,University of Gloucestershire,0,40,50,10,9.1
1817,History,University of Gloucestershire,0,20,60,20,4.8
1821,Theology and Religious Studies,University of Gloucestershire,0,40,60,0,5.3
1825,"Psychology, Psychiatry and Neuroscience",Goldsmiths' College,60,40,0,0,33.3
1829,Computer Science and Informatics,Goldsmiths' College,26.7,73.3,0,0,19.3
1833,Politics and International Studies,Goldsmiths' College,0,20,70,10,10.5
1837,Social Work and Social Policy,Goldsmiths' College,0,40,60,0,7.0
1841,Sociology,Goldsmiths' College,8,52,40,0,36.95
1845,Anthropology and Development Studies,Goldsmiths' College,40,60,0,0,12.5
1849,Education,Goldsmiths' College,0,50,50,0,9.5
1853,English Language and Literature,Goldsmiths' College,26.7,36.6,23.4,13.3,22.0
1857,History,Goldsmiths' College,0,80,20,0,10.0
1861,"Art and Design: History, Practice and Theory",Goldsmiths' College,30,50,20,0,31.3
1865,"Music, Drama, Dance and Performing Arts",Goldsmiths' College,100,0,0,0,14.1
1869,"Music, Drama, Dance and Performing Arts",Goldsmiths' College,10,50,40,0,11.0
1873,"Communication, Cultural and Media Studies, Library and Information Management",Goldsmiths' College,86.7,13.3,0,0,21.0
1877,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Greenwich,0,60,13.3,0,2.0
1881,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Greenwich,0,50,50,0,9.6
1885,"Psychology, Psychiatry and Neuroscience",University of Greenwich,0,20,80,0,11.5
1889,"Agriculture, Veterinary and Food Science",University of Greenwich,90,10,0,0,23.5
1893,Chemistry,University of Greenwich,0,80,20,0,14.4
1897,Mathematical Sciences,University of Greenwich,0,10,10,40,5.0
1901,Computer Science and Informatics,University of Greenwich,20,40,40,0,14.2
1905,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Greenwich,30,70,0,0,9.0
1909,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Greenwich,0,20,60,20,12.0
1913,General Engineering,University of Greenwich,40,20,40,0,14.0
1917,"Architecture, Built Environment and Planning",University of Greenwich,0,0,100,0,6.0
1921,Business and Management Studies,University of Greenwich,10,70,0,0,28.7
1925,Law,University of Greenwich,0,0,0,80,8.0
1929,Anthropology and Development Studies,University of Greenwich,20,80,0,0,8.7
1933,Education,University of Greenwich,0,0,10,50,10.0
1937,Modern Languages and Linguistics,University of Greenwich,-,-,-,-,3.0
1941,English Language and Literature,University of Greenwich,0,60,40,0,8.0
1945,History,University of Greenwich,0,20,60,20,6.7
1949,"Art and Design: History, Practice and Theory",University of Greenwich,0,0,50,50,7.2
1953,"Music, Drama, Dance and Performing Arts",Guildhall School of Music & Drama,60,40,0,0,15.95
1957,"Agriculture, Veterinary and Food Science",Harper Adams University,26.7,23.3,50,0,17.0
1961,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Hertfordshire,0,90,10,0,18.4
1965,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Hertfordshire,50,50,0,0,13.9
1969,"Psychology, Psychiatry and Neuroscience",University of Hertfordshire,20,40,40,0,12.2
1973,"Agriculture, Veterinary and Food Science",University of Hertfordshire,0,0,60,40,11.6
1977,Physics,University of Hertfordshire,0,40,60,0,33.0
1981,Computer Science and Informatics,University of Hertfordshire,10,40,30,20,27.4
1985,General Engineering,University of Hertfordshire,0,10,70,20,14.8
1989,Business and Management Studies,University of Hertfordshire,0,0,80,20,14.1
1993,English Language and Literature,University of Hertfordshire,0,70,30,0,8.0
1997,History,University of Hertfordshire,100,0,0,0,12.0
2001,Philosophy,University of Hertfordshire,30,50,20,0,9.5
2005,"Art and Design: History, Practice and Theory",University of Hertfordshire,0,40,60,0,11.45
2009,"Music, Drama, Dance and Performing Arts",University of Hertfordshire,20,30,50,0,5.3
2013,Theology and Religious Studies,Heythrop College,40,60,0,0,15.8
2017,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Huddersfield,20,80,0,0,10.2
2021,Biological Sciences,University of Huddersfield,0,0,60,0,13.0
2025,Chemistry,University of Huddersfield,0,70,30,0,14.6
2029,Physics,University of Huddersfield,0,0,80,20,12.0
2033,Computer Science and Informatics,University of Huddersfield,0,40,60,0,14.4
2037,General Engineering,University of Huddersfield,20,30,30,20,34.8
2041,Business and Management Studies,University of Huddersfield,36.7,63.3,0,0,18.8
2045,Social Work and Social Policy,University of Huddersfield,48,44,8,0,41.8
2049,Education,University of Huddersfield,40,0,50,10,11.75
2053,English Language and Literature,University of Huddersfield,0,40,46.7,13.3,16.65
2057,History,University of Huddersfield,20,50,30,0,14.25
2061,"Art and Design: History, Practice and Theory",University of Huddersfield,0,50,10,40,13.95
2065,"Music, Drama, Dance and Performing Arts",University of Huddersfield,90,10,0,0,17.5
2069,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Hull,70,30,0,0,34.3
2073,"Psychology, Psychiatry and Neuroscience",University of Hull,26.7,73.3,0,0,21.8
2077,Chemistry,University of Hull,26.7,50,23.3,0,24.0
2081,Computer Science and Informatics,University of Hull,80,20,0,0,14.8
2085,General Engineering,University of Hull,0,50,50,0,14.9
2089,"Geography, Environmental Studies and Archaeology",University of Hull,70,30,0,0,34.5
2093,Business and Management Studies,University of Hull,0,60,32,8,43.75
2097,Law,University of Hull,0,63.3,36.7,0,16.25
2101,Politics and International Studies,University of Hull,0,76.7,23.3,0,19.2
2105,Social Work and Social Policy,University of Hull,26.7,13.3,60,0,24.5
2109,Education,University of Hull,0,20,60,20,13.6
2113,"Sport and Exercise Sciences, Leisure and Tourism",University of Hull,0,90,10,0,11.0
2117,English Language and Literature,University of Hull,30,60,10,0,29.43
2121,History,University of Hull,10,80,10,0,25.1
2125,Philosophy,University of Hull,0,50,50,0,7.2
2129,"Music, Drama, Dance and Performing Arts",University of Hull,13.3,23.4,63.3,0,21.15
2133,Clinical Medicine,Imperial College London,94.1,5.9,0,0,334.18
2137,"Public Health, Health Services and Primary Care",Imperial College London,83.3,16.7,0,0,54.6
2141,"Psychology, Psychiatry and Neuroscience",Imperial College London,84,16,0,0,44.33
2145,Biological Sciences,Imperial College London,53.6,39.1,7.3,0,99.55
2149,Chemistry,Imperial College London,46.7,53.3,0,0,54.9
2153,Physics,Imperial College London,47.7,43.1,9.2,0,117.49
2157,Mathematical Sciences,Imperial College London,56.4,40,3.6,0,100.31
2161,Computer Science and Informatics,Imperial College London,73.3,26.7,0,0,49.45
2165,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Imperial College London,75.6,20,2.2,2.2,172.8
2169,"Electrical and Electronic Engineering, Metallurgy and Materials",Imperial College London,100,0,0,0,44.2
2173,"Electrical and Electronic Engineering, Metallurgy and Materials",Imperial College London,60,40,0,0,37.0
2177,Civil and Construction Engineering,Imperial College London,65.7,34.3,0,0,56.6
2181,General Engineering,Imperial College London,70,20,10,0,33.5
2185,Business and Management Studies,Imperial College London,22.9,71.4,5.7,0,57.95
2189,"Public Health, Health Services and Primary Care",Keele University,90,10,0,0,9.2
2193,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Keele University,76,24,0,0,43.98
2197,"Psychology, Psychiatry and Neuroscience",Keele University,40,20,40,0,14.5
2201,Biological Sciences,Keele University,40,20,40,0,12.4
2205,Earth Systems and Environmental Sciences,Keele University,0,80,20,0,10.2
2209,Physics,Keele University,0,40,10,10,10.5
2213,Mathematical Sciences,Keele University,0,50,30,20,8.0
2217,Computer Science and Informatics,Keele University,0,40,40,20,5.0
2221,General Engineering,Keele University,20,50,30,0,34.45
2225,Business and Management Studies,Keele University,0,36.7,50,13.3,18.3
2229,Law,Keele University,53.3,10,36.7,0,18.0
2233,Politics and International Studies,Keele University,70,30,0,0,13.7
2237,Social Work and Social Policy,Keele University,20,60,20,0,30.1
2241,English Language and Literature,Keele University,0,80,20,0,13.9
2245,History,Keele University,0,100,0,0,12.7
2249,Philosophy,Keele University,80,20,0,0,4.0
2253,"Music, Drama, Dance and Performing Arts",Keele University,40,20,40,0,8.0
2257,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Kent,0,60,13.3,0,16.3
2261,"Psychology, Psychiatry and Neuroscience",University of Kent,40,60,0,0,33.13
2265,Biological Sciences,University of Kent,26.7,60,13.3,0,24.2
2269,Chemistry,University of Kent,13.3,76.7,10,0,17.0
2273,Physics,University of Kent,60,40,0,0,5.0
2277,Mathematical Sciences,University of Kent,20,50,30,0,33.08
2281,Computer Science and Informatics,University of Kent,30,70,0,0,29.1
2285,General Engineering,University of Kent,26.7,36.6,36.7,0,24.0
2289,"Architecture, Built Environment and Planning",University of Kent,0,0,60,40,11.4
2293,Economics and Econometrics,University of Kent,13.3,50,10,26.7,21.9
2297,Business and Management Studies,University of Kent,36,40,24,0,43.3
2301,Law,University of Kent,52,24,24,0,43.6
2305,Politics and International Studies,University of Kent,40,60,0,0,30.75
2309,Social Work and Social Policy,University of Kent,93.3,6.7,0,0,54.58
2313,Anthropology and Development Studies,University of Kent,10,50,40,0,27.27
2317,"Sport and Exercise Sciences, Leisure and Tourism",University of Kent,40,20,20,20,11.0
2321,Modern Languages and Linguistics,University of Kent,60,26.7,13.3,0,24.7
2325,English Language and Literature,University of Kent,36,48,16,0,38.1
2329,History,University of Kent,40,40,20,0,31.4
2333,Classics,University of Kent,60,40,0,0,12.4
2337,Philosophy,University of Kent,40,50,10,0,13.2
2341,Theology and Religious Studies,University of Kent,60,40,0,0,7.88
2345,"Music, Drama, Dance and Performing Arts",University of Kent,36,56,8,0,38.0
2349,Clinical Medicine,King's College London,70.7,29.3,0,0,136.42
2353,"Public Health, Health Services and Primary Care",King's College London,80,20,0,0,23.5
2357,"Allied Health Professions, Dentistry, Nursing and Pharmacy",King's College London,50,43.3,6.7,0,52.95
2361,"Allied Health Professions, Dentistry, Nursing and Pharmacy",King's College London,58,42,0,0,93.93
2365,"Allied Health Professions, Dentistry, Nursing and Pharmacy",King's College London,84,16,0,0,40.75
2369,"Psychology, Psychiatry and Neuroscience",King's College London,77.6,22.4,0,0,238.88
2373,Biological Sciences,King's College London,15,70,15,0,73.85
2377,Physics,King's College London,10,60,30,0,26.6
2381,Mathematical Sciences,King's College London,0,26,50,24,43.2
2385,Computer Science and Informatics,King's College London,40,53.3,6.7,0,46.0
2389,General Engineering,King's College London,80,20,0,0,53.34
2393,"Geography, Environmental Studies and Archaeology",King's College London,40,40,20,0,34.8
2397,Business and Management Studies,King's College London,50,42,8,0,36.15
2401,Law,King's College London,80,20,0,0,33.88
2405,Politics and International Studies,King's College London,63.6,25.5,10.9,0,98.3
2409,Sociology,King's College London,33.3,66.7,0,0,18.9
2413,Education,King's College London,92,8,0,0,36.3
2417,"Sport and Exercise Sciences, Leisure and Tourism",King's College London,50,50,0,0,13.8
2421,Modern Languages and Linguistics,King's College London,24,76,0,0,40.5
2425,English Language and Literature,King's College London,52,48,0,0,44.5
2429,History,King's College London,68,32,0,0,39.85
2433,Classics,King's College London,40,60,0,0,29.9
2437,Philosophy,King's College London,63.3,23.4,13.3,0,24.05
2441,Theology and Religious Studies,King's College London,50,50,0,0,26.0
2445,"Music, Drama, Dance and Performing Arts",King's College London,20,80,0,0,14.6
2449,"Music, Drama, Dance and Performing Arts",King's College London,63.3,36.7,0,0,15.0
2453,"Communication, Cultural and Media Studies, Library and Information Management",King's College London,90,10,0,0,33.05
2457,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Kingston University,0,76.7,23.3,0,17.22
2461,"Psychology, Psychiatry and Neuroscience",Kingston University,0,40,60,0,10.0
2465,Computer Science and Informatics,Kingston University,20,40,40,0,10.2
2469,General Engineering,Kingston University,0,30,50,20,14.0
2473,"Geography, Environmental Studies and Archaeology",Kingston University,0,40,60,0,10.0
2477,Business and Management Studies,Kingston University,23.3,63.4,13.3,0,24.9
2481,English Language and Literature,Kingston University,100,0,0,0,22.6
2485,Philosophy,Kingston University,30,30,40,0,6.2
2489,"Art and Design: History, Practice and Theory",Kingston University,10,36.7,53.3,0,23.5
2493,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Lancaster University,34.3,60,5.7,0,64.4
2497,"Psychology, Psychiatry and Neuroscience",Lancaster University,53.3,20,26.7,0,21.7
2501,Earth Systems and Environmental Sciences,Lancaster University,68,32,0,0,44.9
2505,Chemistry,Lancaster University,20,80,0,0,12.0
2509,Physics,Lancaster University,10,70,20,0,34.95
2513,Mathematical Sciences,Lancaster University,76.7,23.3,0,0,24.9
2517,Computer Science and Informatics,Lancaster University,50,50,0,0,33.0
2521,General Engineering,Lancaster University,36.7,63.3,0,0,24.98
2525,Business and Management Studies,Lancaster University,47.7,36.9,15.4,0,122.38
2529,Law,Lancaster University,20,80,0,0,29.8
2533,Sociology,Lancaster University,80,20,0,0,28.75
2537,Education,Lancaster University,20,50,30,0,11.0
2541,English Language and Literature,Lancaster University,66.7,33.3,0,0,52.97
2545,History,Lancaster University,36.7,63.3,0,0,19.54
2549,Theology and Religious Studies,Lancaster University,86.7,13.3,0,0,22.33
2553,"Art and Design: History, Practice and Theory",Lancaster University,30,60,10,0,32.2
2557,Clinical Medicine,University of Leeds,72,28,0,0,94.2
2561,"Public Health, Health Services and Primary Care",University of Leeds,50,40,10,0,26.2
2565,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Leeds,84,16,0,0,44.4
2569,"Psychology, Psychiatry and Neuroscience",University of Leeds,36,64,0,0,44.05
2573,Biological Sciences,University of Leeds,71.4,28.6,0,0,60.9
2577,"Agriculture, Veterinary and Food Science",University of Leeds,60,40,0,0,14.4
2581,Earth Systems and Environmental Sciences,University of Leeds,46.7,48.9,4.4,0,79.2
2585,Chemistry,University of Leeds,50,50,0,0,34.4
2589,Physics,University of Leeds,66.7,33.3,0,0,24.0
2593,Mathematical Sciences,University of Leeds,56.7,30,13.3,0,53.0
2597,Computer Science and Informatics,University of Leeds,73.3,26.7,0,0,24.97
2601,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Leeds,60,40,0,0,31.55
2605,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Leeds,53.3,46.7,0,0,20.0
2609,Civil and Construction Engineering,University of Leeds,28,64,8,0,44.65
2613,General Engineering,University of Leeds,18,50,32,0,44.8
2617,"Geography, Environmental Studies and Archaeology",University of Leeds,33.3,40,26.7,0,48.9
2621,Business and Management Studies,University of Leeds,60,35,5,0,73.19
2625,Law,University of Leeds,80,20,0,0,29.0
2629,Politics and International Studies,University of Leeds,66.7,33.3,0,0,24.0
2633,Social Work and Social Policy,University of Leeds,60,40,0,0,32.6
2637,Education,University of Leeds,60,30,10,0,32.1
2641,"Sport and Exercise Sciences, Leisure and Tourism",University of Leeds,60,40,0,0,12.5
2645,Modern Languages and Linguistics,University of Leeds,40,27.1,10,22.9,63.1
2649,English Language and Literature,University of Leeds,50,50,0,0,31.1
2653,History,University of Leeds,50,50,0,0,29.7
2657,Classics,University of Leeds,0,100,0,0,6.0
2661,Philosophy,University of Leeds,30,60,10,0,25.0
2665,Theology and Religious Studies,University of Leeds,20,60,20,0,10.8
2669,"Art and Design: History, Practice and Theory",University of Leeds,60,40,0,0,15.6
2673,"Art and Design: History, Practice and Theory",University of Leeds,63.3,36.7,0,0,21.05
2677,"Music, Drama, Dance and Performing Arts",University of Leeds,70,30,0,0,14.9
2681,"Music, Drama, Dance and Performing Arts",University of Leeds,80,20,0,0,14.0
2685,"Communication, Cultural and Media Studies, Library and Information Management",University of Leeds,63.3,36.7,0,0,24.8
2689,"Public Health, Health Services and Primary Care",Leeds Beckett University,0,50,50,0,22.6
2693,"Psychology, Psychiatry and Neuroscience",Leeds Beckett University,0,100,0,0,12.0
2697,Computer Science and Informatics,Leeds Beckett University,0,20,80,0,9.0
2701,"Architecture, Built Environment and Planning",Leeds Beckett University,26.7,10,36.6,26.7,18.1
2705,Business and Management Studies,Leeds Beckett University,0,60,40,0,17.4
2709,Social Work and Social Policy,Leeds Beckett University,0,20,40,40,13.29
2713,Education,Leeds Beckett University,0,70,30,0,11.61
2717,"Sport and Exercise Sciences, Leisure and Tourism",Leeds Beckett University,36.7,23.3,40,0,48.6
2721,"Art and Design: History, Practice and Theory",Leeds Beckett University,0,0,0,100,7.89
2725,"Music, Drama, Dance and Performing Arts",Leeds Beckett University,0,0,40,20,11.2
2729,"Communication, Cultural and Media Studies, Library and Information Management",Leeds Beckett University,20,0,60,20,29.75
2733,"Sport and Exercise Sciences, Leisure and Tourism",Leeds Trinity University,-,-,-,-,3.0
2737,English Language and Literature,Leeds Trinity University,0,0,70,30,5.5
2741,History,Leeds Trinity University,0,40,60,0,4.0
2745,Theology and Religious Studies,Leeds Trinity University,0,40,20,40,3.5
2749,"Communication, Cultural and Media Studies, Library and Information Management",Leeds Trinity University,0,0,0,10,4.1
2753,Clinical Medicine,University of Leicester,65,35,0,0,72.1
2757,"Public Health, Health Services and Primary Care",University of Leicester,66.7,33.3,0,0,24.2
2761,"Psychology, Psychiatry and Neuroscience",University of Leicester,0,100,0,0,34.4
2765,Biological Sciences,University of Leicester,48,32,20,0,37.4
2769,Earth Systems and Environmental Sciences,University of Leicester,13.3,86.7,0,0,21.8
2773,Chemistry,University of Leicester,36.7,50,13.3,0,21.4
2777,Physics,University of Leicester,43.3,43.4,13.3,0,49.33
2781,Mathematical Sciences,University of Leicester,13.3,36.7,50,0,23.6
2785,Computer Science and Informatics,University of Leicester,0,40,46.7,13.3,20.0
2789,General Engineering,University of Leicester,0,100,0,0,30.0
2793,"Geography, Environmental Studies and Archaeology",University of Leicester,73.3,26.7,0,0,19.4
2797,"Geography, Environmental Studies and Archaeology",University of Leicester,13.3,63.4,23.3,0,24.39
2801,Economics and Econometrics,University of Leicester,0,26.7,33.3,40,22.4
2805,Business and Management Studies,University of Leicester,11.4,54.3,28.6,5.7,59.6
2809,Law,University of Leicester,16,58,26,0,39.53
2813,Politics and International Studies,University of Leicester,0,80,20,0,18.0
2817,Social Work and Social Policy,University of Leicester,0,100,0,0,12.0
2821,Sociology,University of Leicester,0,0,100,0,11.5
2825,Education,University of Leicester,0,66.7,33.3,0,24.1
2829,Modern Languages and Linguistics,University of Leicester,0,60,40,0,12.0
2833,English Language and Literature,University of Leicester,30,60,10,0,28.4
2837,History,University of Leicester,30,40,30,0,27.0
2841,"Art and Design: History, Practice and Theory",University of Leicester,50,50,0,0,6.2
2845,"Communication, Cultural and Media Studies, Library and Information Management",University of Leicester,53.3,33.4,13.3,0,22.0
2849,"Communication, Cultural and Media Studies, Library and Information Management",University of Leicester,100,0,0,0,10.8
2853,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Lincoln,40,36.7,23.3,0,19.4
2857,"Psychology, Psychiatry and Neuroscience",University of Lincoln,40,20,40,0,12.8
2861,"Agriculture, Veterinary and Food Science",University of Lincoln,40,20,30,10,14.0
2865,Computer Science and Informatics,University of Lincoln,0,0,10,50,14.5
2869,General Engineering,University of Lincoln,0,30,30,0,12.0
2873,"Architecture, Built Environment and Planning",University of Lincoln,0,0,20,80,6.2
2877,Business and Management Studies,University of Lincoln,30,70,0,0,9.4
2881,Law,University of Lincoln,0,60,40,0,4.2
2885,Politics and International Studies,University of Lincoln,0,10,50,40,7.3
2889,Social Work and Social Policy,University of Lincoln,0,10,70,20,11.2
2893,Education,University of Lincoln,20,20,10,50,6.6
2897,"Sport and Exercise Sciences, Leisure and Tourism",University of Lincoln,0,50,50,0,7.0
2901,English Language and Literature,University of Lincoln,0,40,60,0,11.0
2905,History,University of Lincoln,0,40,60,0,11.0
2909,"Art and Design: History, Practice and Theory",University of Lincoln,20,60,10,10,13.1
2913,"Music, Drama, Dance and Performing Arts",University of Lincoln,0,10,50,0,11.2
2917,"Communication, Cultural and Media Studies, Library and Information Management",University of Lincoln,0,100,0,0,6.4
2921,Clinical Medicine,University of Liverpool,57.8,37.8,4.4,0,143.5
2925,"Public Health, Health Services and Primary Care",University of Liverpool,90,10,0,0,31.3
2929,"Psychology, Psychiatry and Neuroscience",University of Liverpool,80,20,0,0,33.0
2933,Biological Sciences,University of Liverpool,0,63.3,36.7,0,18.0
2937,"Agriculture, Veterinary and Food Science",University of Liverpool,60,33.3,6.7,0,54.64
2941,Earth Systems and Environmental Sciences,University of Liverpool,0,86.7,13.3,0,24.8
2945,Chemistry,University of Liverpool,60,40,0,0,34.0
2949,Physics,University of Liverpool,10,70,20,0,34.3
2953,Mathematical Sciences,University of Liverpool,18,74,8,0,39.63
2957,Computer Science and Informatics,University of Liverpool,40,60,0,0,24.0
2961,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Liverpool,0,100,0,0,24.0
2965,General Engineering,University of Liverpool,20,70,10,0,34.0
2969,"Architecture, Built Environment and Planning",University of Liverpool,26.7,73.3,0,0,22.2
2973,"Geography, Environmental Studies and Archaeology",University of Liverpool,10,50,30,10,33.0
2977,"Geography, Environmental Studies and Archaeology",University of Liverpool,36.7,36.6,26.7,0,16.0
2981,Business and Management Studies,University of Liverpool,56.7,43.3,0,0,45.15
2985,Law,University of Liverpool,0,100,0,0,20.0
2989,Politics and International Studies,University of Liverpool,50,10,20,20,5.0
2993,Social Work and Social Policy,University of Liverpool,26.7,73.3,0,0,18.0
2997,Modern Languages and Linguistics,University of Liverpool,20,40,26.7,13.3,21.0
3001,English Language and Literature,University of Liverpool,30,70,0,0,28.3
3005,History,University of Liverpool,46.7,40,13.3,0,23.0
3009,Classics,University of Liverpool,0,40,40,20,8.5
3013,Philosophy,University of Liverpool,0,60,40,0,8.0
3017,"Music, Drama, Dance and Performing Arts",University of Liverpool,40,50,10,0,9.0
3021,"Communication, Cultural and Media Studies, Library and Information Management",University of Liverpool,40,50,10,0,7.5
3025,"Psychology, Psychiatry and Neuroscience",Liverpool Hope University,0,0,100,0,10.8
3029,Computer Science and Informatics,Liverpool Hope University,0,0,50,50,7.0
3033,"Geography, Environmental Studies and Archaeology",Liverpool Hope University,0,0,0,80,4.2
3037,Politics and International Studies,Liverpool Hope University,0,0,70,30,7.0
3041,Social Work and Social Policy,Liverpool Hope University,0,0,10,90,6.2
3045,Education,Liverpool Hope University,40,0,30,30,12.2
3049,"Sport and Exercise Sciences, Leisure and Tourism",Liverpool Hope University,0,0,30,70,8.6
3053,English Language and Literature,Liverpool Hope University,0,0,40,60,14.2
3057,History,Liverpool Hope University,0,50,50,0,10.6
3061,Theology and Religious Studies,Liverpool Hope University,0,70,30,0,14.9
3065,"Music, Drama, Dance and Performing Arts",Liverpool Hope University,10,90,0,0,7.75
3069,"Music, Drama, Dance and Performing Arts",Liverpool Hope University,0,10,70,20,9.0
3073,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Liverpool John Moores University,10,60,30,0,34.5
3077,"Psychology, Psychiatry and Neuroscience",Liverpool John Moores University,0,60,40,0,9.7
3081,Physics,Liverpool John Moores University,40,46.7,13.3,0,22.71
3085,Computer Science and Informatics,Liverpool John Moores University,0,80,10,10,9.7
